code,name
SCM,Sourcing Manager
FL,Forklift
RM&FG,Raw Materials & Finished Goods
SCMO,Supply Chain Management Officer
SCMS,Supply Chain Management Supervisor
SCMM,Supply Chain Management Manager
SCDO,Scheduling Officer
SCDS,Scheduling Supervisor
SCDM,Scheduling Manager
SE,Sales Engineer
QCA,Quality Control Analyst
QCS,Quality Control Supervisor
PC,Purchasing
PCM,Purchasing Manager
PE,Project Engineer
CT,Costing
BD,Business Development
SRM,Senior Manager
DE,Data Entry
PS,Production Supervisor
PM,Production Manager
MNT,Maintenance
MS,Maintenance Supervisor
Programmer,Programmer
ITAM,Information Technology Assistant Manager
ITM,Information Technology Manager
SP,Safety Professional
CSR,Corporate Social Responsibility
HRS,Human Resources Supervisor
HRM,Human Resource Manager
DS,Design
EM,Engineer Manager
CMO,Chief Marketing Officer
CFO,Chief Financial Officer
CCO,Chief Commercial Officer
CEO,Chief Executive Officer
ACCO,Accounting Officer
ACCM,Accounting Manager
